Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Difficulty making arithmetical calculations	1/11	0.005487567669022947	0.03145451158738926	0	0	222.0	1155.5699775561973	CACNA1A
Pulmonary Blastoma	1/11	0.005487567669022947	0.03145451158738926	0	0	222.0	1155.5699775561973	KIT
Seminoma	2/229	0.005528812890043678	0.03152840991655677	0	0	21.765418502202643	113.13190385973056	KIT;CLU
Chronic myeloproliferative disorder	2/233	0.0057179690628394765	0.03165917328630063	0	0	21.384199134199132	110.43103223714621	CXCL12;KIT
Nasopharyngeal carcinoma	3/782	0.005814389491554782	0.03165917328630063	0	0	10.569044562626077	54.40330594145546	CXCL12;KIT;CLU
Hepatitis C	3/783	0.005835194027151658	0.03165917328630063	0	0	10.554945054945055	54.29303049363137	CXCL12;KIT;CLU
Uveal melanoma	2/236	0.005861786616149536	0.03165917328630063	0	0	21.10683760683761	108.47438821214317	CXCL12;KIT
Periodontitis	2/237	0.00591009646129007	0.03165917328630063	0	0	21.01595744680851	107.83483479141834	CTSG;CLU
Episodic ataxia type 2 (disorder)	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	CACNA1A
Menstrual spotting	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	KIT
Myelokathexis	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	CXCL12
Myotonia	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	CACNA1A
Spinocerebellar Degeneration	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	CACNA1A
Childhood Absence Epilepsy	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	CACNA1A
Heterochromia iridis	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	KIT
Infantile nystagmus	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	CACNA1A
Developmental arithmetic disorder	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	CACNA1A
Raised TSH level	1/12	0.00598509351248777	0.03165917328630063	0	0	201.8080808080808	1032.9512945731403	THRB
Medullary carcinoma of thyroid	2/239	0.0060072711901163955	0.03165917328630063	0	0	20.83649789029536	106.57420016184635	CXCL12;KIT
Hypercholesterolemia	2/240	0.006056135756416981	0.031766146043092844	0	0	20.747899159663866	105.95295110838458	CXCL12;CLU
Chondrosarcoma	2/241	0.006105184912210327	0.031873078039332786	0	0	20.660041841004183	105.3376381387371	CXCL12;KIT
Kidney Neoplasm	2/246	0.00635319399326557	0.032223553914615614	0	0	20.23155737704918	102.34735393301293	CXCL12;KIT
Epithelioid hemangioendothelioma	1/13	0.006482395492037067	0.032223553914615614	0	0	184.9814814814815	932.059746399125	KIT
Retinitis	1/13	0.006482395492037067	0.032223553914615614	0	0	184.9814814814815	932.059746399125	CXCL12
Cystadenoma, Mucinous	1/13	0.006482395492037067	0.032223553914615614	0	0	184.9814814814815	932.059746399125	CLU
Secondary malignant neoplasm of skin	1/13	0.006482395492037067	0.032223553914615614	0	0	184.9814814814815	932.059746399125	KIT
Hallucinations, Visual	1/13	0.006482395492037067	0.032223553914615614	0	0	184.9814814814815	932.059746399125	CACNA1A
Vestibular dysfunction	1/13	0.006482395492037067	0.032223553914615614	0	0	184.9814814814815	932.059746399125	CACNA1A
White forelock	1/13	0.006482395492037067	0.032223553914615614	0	0	184.9814814814815	932.059746399125	KIT
FANCONI ANEMIA, COMPLEMENTATION GROUP A (disorder)	2/249	0.006504204388268427	0.032223553914615614	0	0	19.982793522267208	100.61948975553314	KIT;ALDH1A1
Acute Coronary Syndrome	2/255	0.006811166420556227	0.032223553914615614	0	0	19.50296442687747	97.30403200679588	CXCL12;CLU
Skin Neoplasms	2/256	0.0068629654523426255	0.032223553914615614	0	0	19.4251968503937	96.76886461421591	KIT;CLU
Carcinogenesis	6/4065	0.006909766067722225	0.032223553914615614	0	0	5.887287509238729	29.28819267916652	CXCL12;THRB;KIT;ALDH1A1;AXIN2;CLU
Neuroendocrine Tumors	2/257	0.0069149465482691895	0.032223553914615614	0	0	19.348039215686274	96.23850226744516	CXCL12;KIT
Adenoma of large intestine	2/258	0.006967109551598633	0.032223553914615614	0	0	19.271484375	95.71288397159331	CXCL12;CLU
Refractory Neoplasm	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	KIT
SEBASTIAN SYNDROME	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	CXCL12
Fibromatosis	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	KIT
Gastric Gastrointestinal Stromal Tumor	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	KIT
Germinoma	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	KIT
Abnormality of the thyroid gland	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	THRB
Uterine Polyp	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	KIT
Pigmented lesions	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	KIT
POEMS Syndrome	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	IGLL5
Lambert-Eaton Myasthenic Syndrome	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	CACNA1A
Amelanotic Skin Melanoma	1/14	0.006979473680213335	0.032223553914615614	0	0	170.74358974358975	847.7046615380154	KIT
Stomach Neoplasms	3/835	0.00698070066558705	0.032223553914615614	0	0	9.868475274725276	48.99309141524392	CXCL12;KIT;AXIN2
Solid Neoplasm	3/840	0.007097512856448671	0.032223553914615614	0	0	9.806963645673322	48.52496260489715	CXCL12;KIT;ALDH1A1
Endometrial Carcinoma	3/840	0.007097512856448671	0.032223553914615614	0	0	9.806963645673322	48.52496260489715	CXCL12;KIT;CLU
Male infertility	2/263	0.007230647683735679	0.032223553914615614	0	0	18.89750957854406	93.15388759987995	THRB;KIT
Malignant neoplasm of gastrointestinal tract	2/263	0.007230647683735679	0.032223553914615614	0	0	18.89750957854406	93.15388759987995	GNG7;AXIN2
Brain Ischemia	2/264	0.007283898835171592	0.032223553914615614	0	0	18.82442748091603	92.65550754523255	CXCL12;CLU
Refractory anemias	2/266	0.007390943411487676	0.032223553914615614	0	0	18.679924242424242	91.67172619510711	KIT;ALDH1A1
Malignant melanoma of ciliary body	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	KIT
Mast-Cell Sarcoma	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	KIT
Meleda Disease	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	CXCL12
Salivary gland carcinoma	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	KIT
Monoblastic leukemia	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	KIT
Mucosal Melanoma	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	KIT
Gastroschisis	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	KIT
Leukemia, Prolymphocytic, B-Cell	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	CTSG
Nevi and Melanomas	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	KIT
Hereditary Paraganglioma	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	KIT
orbit (eye disorders)	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	IGLL5
Core binding factor acute myeloid leukemia	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	KIT
Diffuse Intrinsic Pontine Glioma	1/15	0.0074763281564485876	0.032223553914615614	0	0	158.53968253968253	776.212425317664	CLU
Cerebral Ischemia	2/275	0.007881560577080464	0.03247593554760325	0	0	18.055860805860807	87.44867502955168	CXCL12;CTSG
Ataxia, Motor	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CACNA1A
Basaloid squamous cell carcinoma	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	AXIN2
Familial Dystonia	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CACNA1A
Familial Hemiplegic Migraine	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CACNA1A
Glioblastoma, IDH-Mutant	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	KIT
Central nervous system lymphoma	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CXCL12
Malignant melanoma, metastatic	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	KIT
Nystagmus, End-Position	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CACNA1A
Optic Nerve Glioma	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CXCL12
Thinking and speaking disturbances	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CLU
Tremor, Rubral	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CACNA1A
Pdgfra-Associated Chronic Eosinophilic Leukemia	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	KIT
AIDS (Disease)	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CXCL12
Diplopia	1/16	0.00797295899684864	0.03247593554760325	0	0	147.96296296296296	714.9125872208035	CACNA1A
Pheochromocytoma	2/280	0.008160401222550122	0.03311812466961947	0	0	17.72661870503597	85.23777139969488	CXCL12;KIT
Cerebral Infarction	2/283	0.008329846656493067	0.033560831456595254	0	0	17.534697508896798	83.95455761010562	CXCL12;CTSG
Anaplasia	2/283	0.008329846656493067	0.033560831456595254	0	0	17.534697508896798	83.95455761010562	KIT;AXIN2
Fish-Eye Disease	1/17	0.00846936628057759	0.0337560405161372	0	0	138.70833333333334	661.8190142974174	CLU
Pathologic Neovascularization	1/17	0.00846936628057759	0.0337560405161372	0	0	138.70833333333334	661.8190142974174	CLU
Acute malaria	1/17	0.00846936628057759	0.0337560405161372	0	0	138.70833333333334	661.8190142974174	CLU
Atrial Fibrillation	2/288	0.008615810693167405	0.034026251548813176	0	0	17.223776223776223	81.88452443204534	CXCL12;KIT
Fanconi Anemia	2/290	0.008731436939904242	0.034026251548813176	0	0	17.102430555555557	81.07963589252527	KIT;ALDH1A1
Colorectal Carcinoma	5/2931	0.008914422022109666	0.034026251548813176	0	0	5.831852358168148	27.526838032258958	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Pituitary Adenoma	2/294	0.008964809443699947	0.034026251548813176	0	0	16.86472602739726	79.50788110402384	CXCL12;KIT
Atrophy/Degeneration affecting the brainstem	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	CACNA1A
Benign neoplasm of stomach	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	AXIN2
Sexually Transmitted Diseases	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	KIT
Carcinoma in situ of stomach	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	AXIN2
Myeloid and Lymphoid Neoplasms with FGFR1 Rearrangement	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	KIT
Smoldering myeloma	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	KIT
SPINOCEREBELLAR ATAXIA 8	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	CACNA1A
Neoplasm of uncertain or unknown behavior of stomach	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	AXIN2
Teratoma, Malignant	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	KIT
Pleocytosis	1/18	0.008965550093347357	0.034026251548813176	0	0	130.54248366013073	615.425022203049	CACNA1A
Pituitary Neoplasms	2/296	0.009082553233814043	0.034353058489800053	0	0	16.74829931972789	78.74045329536173	CXCL12;THRB
Adenocarcinoma of large intestine	2/297	0.009141688974510296	0.0344595191174761	0	0	16.690677966101696	78.36123291363853	KIT;AXIN2
Epithelioma	2/298	0.009201000407842809	0.03456592045108515	0	0	16.633445945945947	77.9849642233935	KIT;CLU
CADASIL Syndrome	1/19	0.009461510512395743	0.03507066563261355	0	0	123.28395061728395	574.5677163606151	CLU
Multiple adenomatous polyps	1/19	0.009461510512395743	0.03507066563261355	0	0	123.28395061728395	574.5677163606151	AXIN2
Smooth Muscle Tumor	1/19	0.009461510512395743	0.03507066563261355	0	0	123.28395061728395	574.5677163606151	KIT
Classical phenylketonuria	1/19	0.009461510512395743	0.03507066563261355	0	0	123.28395061728395	574.5677163606151	CACNA1A
Kidney Failure, Acute	2/310	0.009926385751119298	0.035488651789479006	0	0	15.97564935064935	73.68862263509924	CXCL12;CLU
Mastocytoma	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	KIT
Creutzfeldt-Jakob Disease, Familial	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	ALDH1A1
Solitary fibrous tumor	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	ALDH1A1
Sprengel deformity	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	THRB
Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	IGLL5
Thymoma, type C	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	KIT
Abnormal visual pursuit	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	CACNA1A
Impaired smooth pursuit	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	CACNA1A
Piebaldism	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	KIT
Arteriosclerosis Obliterans	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	CXCL12
Endometrial Endometrioid Adenocarcinoma	1/20	0.009957247624386196	0.035488651789479006	0	0	116.78947368421052	538.3357753631753	CLU
Squamous cell carcinoma	4/1876	0.010202562467487564	0.036246803398869556	0	0	6.452279202279202	29.584450980890818	CXCL12;KIT;ALDH1A1;CLU
Myocardial Infarction	3/966	0.010441240394873532	0.036437212542936824	0	0	8.467734757454384	38.62973730555295	CXCL12;KIT;CTSG
Esophageal Stenosis	1/21	0.010452761511867668	0.036437212542936824	0	0	110.94444444444444	506.0053047065427	KIT
Hemiplegia	1/21	0.010452761511867668	0.036437212542936824	0	0	110.94444444444444	506.0053047065427	CACNA1A
Oculo-dento-digital syndrome	1/21	0.010452761511867668	0.036437212542936824	0	0	110.94444444444444	506.0053047065427	ALDH1A1
Adult-Onset Still Disease	1/21	0.010452761511867668	0.036437212542936824	0	0	110.94444444444444	506.0053047065427	CLU
Rare Diseases	1/21	0.010452761511867668	0.036437212542936824	0	0	110.94444444444444	506.0053047065427	KIT
Kaposi Sarcoma	2/323	0.010740438249525855	0.036891618518012564	0	0	15.31853582554517	69.4502491985936	CXCL12;KIT
T-Cell Lymphoma	2/324	0.010804263995027893	0.036891618518012564	0	0	15.270186335403727	69.14056970864128	CXCL12;KIT
Benign Mastocytoma	1/22	0.010948052258043297	0.036891618518012564	0	0	105.65608465608466	476.99429568907004	KIT
Fibromyxosarcoma	1/22	0.010948052258043297	0.036891618518012564	0	0	105.65608465608466	476.99429568907004	ALDH1A1
Nephrosclerosis	1/22	0.010948052258043297	0.036891618518012564	0	0	105.65608465608466	476.99429568907004	CXCL12
Psychomotor retardation, mild	1/22	0.010948052258043297	0.036891618518012564	0	0	105.65608465608466	476.99429568907004	CACNA1A
Cluster Headache	1/22	0.010948052258043297	0.036891618518012564	0	0	105.65608465608466	476.99429568907004	CACNA1A
Other specified manifestations of hyperkinetic syndrome	1/22	0.010948052258043297	0.036891618518012564	0	0	105.65608465608466	476.99429568907004	THRB
Adenoid cystic carcinoma of salivary gland	1/22	0.010948052258043297	0.036891618518012564	0	0	105.65608465608466	476.99429568907004	KIT
Angiomyolipoma of kidney	1/22	0.010948052258043297	0.036891618518012564	0	0	105.65608465608466	476.99429568907004	KIT
Dystonia Musculorum Deformans	1/22	0.010948052258043297	0.036891618518012564	0	0	105.65608465608466	476.99429568907004	CACNA1A
Glioblastoma	4/1937	0.011417960498595245	0.0376471875264171	0	0	6.2276254526642525	27.853476329077925	CXCL12;KIT;AXIN2;CLU
Athetosis	1/23	0.01144311994957642	0.0376471875264171	0	0	100.84848484848484	450.8296990682604	CACNA1A
Macule	1/23	0.01144311994957642	0.0376471875264171	0	0	100.84848484848484	450.8296990682604	KIT
Fleck corneal dystrophy	1/23	0.01144311994957642	0.0376471875264171	0	0	100.84848484848484	450.8296990682604	CLU
Stage III Colon Cancer AJCC v7	1/23	0.01144311994957642	0.0376471875264171	0	0	100.84848484848484	450.8296990682604	CXCL12
New Variant Creutzfeldt-Jakob Disease	1/23	0.01144311994957642	0.0376471875264171	0	0	100.84848484848484	450.8296990682604	ALDH1A1
Tinnitus	1/23	0.01144311994957642	0.0376471875264171	0	0	100.84848484848484	450.8296990682604	CACNA1A
Hypoplastic myelodysplasia	1/23	0.01144311994957642	0.0376471875264171	0	0	100.84848484848484	450.8296990682604	KIT
Malignant mesothelioma	2/335	0.011517637744860094	0.03778056982974757	0	0	14.757507507507508	65.87567917910778	CXCL12;KIT
Pneumonitis	2/339	0.011782154307532875	0.038256532308851884	0	0	14.579376854599406	64.74948001160962	CXCL12;CTSG
Episodic Ataxia	1/24	0.011937964668319789	0.038256532308851884	0	0	96.45893719806763	427.1232267263204	CACNA1A
Leukemia, Mast-Cell	1/24	0.011937964668319789	0.038256532308851884	0	0	96.45893719806763	427.1232267263204	KIT
Stage III Colon Cancer	1/24	0.011937964668319789	0.038256532308851884	0	0	96.45893719806763	427.1232267263204	CXCL12
Thymus Neoplasms	1/24	0.011937964668319789	0.038256532308851884	0	0	96.45893719806763	427.1232267263204	KIT
Hyperphenylalaninaemia	1/24	0.011937964668319789	0.038256532308851884	0	0	96.45893719806763	427.1232267263204	CACNA1A
Congenital hypoplasia of adrenal gland	1/24	0.011937964668319789	0.038256532308851884	0	0	96.45893719806763	427.1232267263204	CACNA1A
Pure gonadal dysgenesis	1/24	0.011937964668319789	0.038256532308851884	0	0	96.45893719806763	427.1232267263204	KIT
Prostate carcinoma	5/3145	0.01206378484227739	0.03854864581785189	0	0	5.36624203821656	23.705628040847554	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Recurrent tumor	2/347	0.012319304752027076	0.039235885104995455	0	0	14.235507246376812	62.58765684470121	KIT;CLU
Lymphomatoid Papulosis	1/25	0.012432586505539576	0.039235885104995455	0	0	92.43518518518519	405.55330287566494	KIT
Goiter	1/25	0.012432586505539576	0.039235885104995455	0	0	92.43518518518519	405.55330287566494	THRB
Pendred's syndrome	1/25	0.012432586505539576	0.039235885104995455	0	0	92.43518518518519	405.55330287566494	THRB
Uterine Fibroids	2/349	0.012455276476675716	0.039235885104995455	0	0	14.152017291066283	62.06524174816711	KIT;ALDH1A1
Ewings sarcoma	2/352	0.012660492288028818	0.039769681989514256	0	0	14.028571428571428	61.29460194447108	CXCL12;KIT
Malignant tumor of colon	4/2001	0.012793931668008076	0.039930022008950156	0	0	6.006676681689201	26.1818080688358	CXCL12;KIT;AXIN2;CLU
Osteosarcoma of bone	3/1042	0.012843021358352373	0.039930022008950156	0	0	7.816994362711398	34.04265634068653	CXCL12;ALDH1A1;CLU
Mast Cell Neoplasm	1/26	0.012926985542465876	0.039930022008950156	0	0	88.73333333333333	385.85142072369416	KIT
Severe Aplastic Anemia	1/26	0.012926985542465876	0.039930022008950156	0	0	88.73333333333333	385.85142072369416	KIT
Hereditary nonpolyposis colorectal carcinoma	1/26	0.012926985542465876	0.039930022008950156	0	0	88.73333333333333	385.85142072369416	AXIN2
Adult T Acute Lymphoblastic Leukemia	1/26	0.012926985542465876	0.039930022008950156	0	0	88.73333333333333	385.85142072369416	KIT
Lymphoma, Follicular	2/359	0.01314518001399267	0.04049152403202174	0	0	13.74859943977591	59.554809931238104	CXCL12;KIT
Presenile dementia	2/362	0.013355401151062343	0.04088858080726754	0	0	13.631944444444445	58.83321470886943	CXCL12;CLU
Gonadal Dysgenesis, Mixed	1/27	0.013421161865694831	0.04088858080726754	0	0	85.31623931623932	367.79170199807675	KIT
Hereditary Leiomyomatosis and Renal Cell Cancer	1/27	0.013421161865694831	0.04088858080726754	0	0	85.31623931623932	367.79170199807675	KIT
Idiopathic Interstitial Pneumonias	1/27	0.013421161865694831	0.04088858080726754	0	0	85.31623931623932	367.79170199807675	CXCL12
Malignant neoplasm of prostate	5/3239	0.013673218055966826	0.040959486313169285	0	0	5.181199752628324	22.239347871243123	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Precursor B-cell lymphoblastic leukemia	2/367	0.013709085298041355	0.040959486313169285	0	0	13.441780821917808	57.66116021948851	CXCL12;KIT
Colorectal Neoplasms	3/1073	0.013908600543602486	0.040959486313169285	0	0	7.578104138851803	32.39827369985247	CXCL12;AXIN2;CLU
Malignant Mesothelioma of Peritoneum	1/28	0.01391511556314784	0.040959486313169285	0	0	82.1522633744856	351.18281785053944	CXCL12
Ataxia, Sensory	1/28	0.01391511556314784	0.040959486313169285	0	0	82.1522633744856	351.18281785053944	CACNA1A
Autosomal Dominant Juvenile Parkinson Disease	1/28	0.01391511556314784	0.040959486313169285	0	0	82.1522633744856	351.18281785053944	ALDH1A1
Familial Juvenile Parkinsonism	1/28	0.01391511556314784	0.040959486313169285	0	0	82.1522633744856	351.18281785053944	ALDH1A1
Lymphoma, AIDS-Related	1/28	0.01391511556314784	0.040959486313169285	0	0	82.1522633744856	351.18281785053944	CXCL12
Granulocytic Sarcoma	1/28	0.01391511556314784	0.040959486313169285	0	0	82.1522633744856	351.18281785053944	KIT
Childhood Burkitt Lymphoma	1/28	0.01391511556314784	0.040959486313169285	0	0	82.1522633744856	351.18281785053944	KIT
Parkinsonism, Experimental	1/28	0.01391511556314784	0.040959486313169285	0	0	82.1522633744856	351.18281785053944	ALDH1A1
Ramsay Hunt Paralysis Syndrome	1/28	0.01391511556314784	0.040959486313169285	0	0	82.1522633744856	351.18281785053944	ALDH1A1
Nephroblastoma	2/370	0.013923278620843516	0.040959486313169285	0	0	13.330163043478262	56.975691151621916	KIT;ALDH1A1
Arteriosclerosis	3/1087	0.014406377750935714	0.04140216422197632	0	0	7.474696889826041	31.693344713646646	CXCL12;KIT;CLU
Malignant melanoma of eye	1/29	0.014408846721137443	0.04140216422197632	0	0	79.21428571428571	335.8616722924233	KIT
Childhood Brain Neoplasm	1/29	0.014408846721137443	0.04140216422197632	0	0	79.21428571428571	335.8616722924233	KIT
Stippled epiphyses	1/29	0.014408846721137443	0.04140216422197632	0	0	79.21428571428571	335.8616722924233	THRB
Torticollis	1/29	0.014408846721137443	0.04140216422197632	0	0	79.21428571428571	335.8616722924233	CACNA1A
Phenylketonurias	1/29	0.014408846721137443	0.04140216422197632	0	0	79.21428571428571	335.8616722924233	CACNA1A
Diffusely thickened skin	1/29	0.014408846721137443	0.04140216422197632	0	0	79.21428571428571	335.8616722924233	KIT
Angiofibroma	1/29	0.014408846721137443	0.04140216422197632	0	0	79.21428571428571	335.8616722924233	AXIN2
Dysgerminoma	1/29	0.014408846721137443	0.04140216422197632	0	0	79.21428571428571	335.8616722924233	KIT
Colorectal Cancer	5/3298	0.014758659923312965	0.04218864093641711	0	0	5.070452474946857	21.376648643583327	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Tumor Progression	4/2090	0.014885486392901378	0.04218864093641711	0	0	5.721955896452541	24.07437761700241	CXCL12;KIT;ALDH1A1;CLU
Malignant transformation	1/30	0.014902355425265381	0.04218864093641711	0	0	76.47892720306514	321.6884165593148	AXIN2
Thymic Carcinoma	1/30	0.014902355425265381	0.04218864093641711	0	0	76.47892720306514	321.6884165593148	KIT
Prostatic Hypertrophy	1/30	0.014902355425265381	0.04218864093641711	0	0	76.47892720306514	321.6884165593148	CLU
Colon Carcinoma	4/2091	0.014910194143895616	0.04218864093641711	0	0	5.718894745248363	24.05201355813457	CXCL12;KIT;AXIN2;CLU
Invasive carcinoma of breast	2/385	0.01501639938764056	0.04238130994684341	0	0	12.798302872062663	53.73511291464596	CXCL12;ALDH1A1
Multiple Sclerosis	3/1106	0.015098512755735757	0.04248127454617158	0	0	7.338557181712213	30.771737335754366	CXCL12;AXIN2;CLU
Missing more than six teeth	1/31	0.015395641764484845	0.04248127454617158	0	0	73.92592592592592	308.5424792813036	AXIN2
Myxoma	1/31	0.015395641764484845	0.04248127454617158	0	0	73.92592592592592	308.5424792813036	KIT
Neoplastic disease	1/31	0.015395641764484845	0.04248127454617158	0	0	73.92592592592592	308.5424792813036	KIT
HIV Encephalopathy	1/31	0.015395641764484845	0.04248127454617158	0	0	73.92592592592592	308.5424792813036	CLU
Terminal tremor	1/31	0.015395641764484845	0.04248127454617158	0	0	73.92592592592592	308.5424792813036	CACNA1A
Thick skin	1/31	0.015395641764484845	0.04248127454617158	0	0	73.92592592592592	308.5424792813036	KIT
Plasma Cell Neoplasm	1/31	0.015395641764484845	0.04248127454617158	0	0	73.92592592592592	308.5424792813036	KIT
Large hand	1/31	0.015395641764484845	0.04248127454617158	0	0	73.92592592592592	308.5424792813036	KIT
Carcinoma breast stage IV	2/392	0.0155390641805827	0.04275356107088724	0	0	12.564102564102564	52.32192554843263	CXCL12;ALDH1A1
Lung diseases	2/393	0.015614377609981132	0.04275356107088724	0	0	12.531329923273658	52.12485813816466	KIT;CTSG
Chronic Lymphocytic Leukemia	3/1120	0.015620780902578273	0.04275356107088724	0	0	7.241207315513493	30.11729015860574	IGLL5;CXCL12;CTSG
Ataxia Telangiectasia	2/396	0.01584128522833527	0.04275356107088724	0	0	12.434010152284264	51.54066009427227	CXCL12;KIT
Squamous cell carcinoma of the hypopharynx	1/32	0.015888705824063775	0.04275356107088724	0	0	71.53763440860214	296.3193797028303	CXCL12
HIV encephalitis	1/32	0.015888705824063775	0.04275356107088724	0	0	71.53763440860214	296.3193797028303	CLU
Hypereosinophilia	1/32	0.015888705824063775	0.04275356107088724	0	0	71.53763440860214	296.3193797028303	KIT
Papillary serous cystadenocarcinoma	1/32	0.015888705824063775	0.04275356107088724	0	0	71.53763440860214	296.3193797028303	CLU
Idiopathic Hypereosinophilic Syndrome	1/32	0.015888705824063775	0.04275356107088724	0	0	71.53763440860214	296.3193797028303	KIT
Intestinal Obstruction	1/32	0.015888705824063775	0.04275356107088724	0	0	71.53763440860214	296.3193797028303	KIT
Rhabdomyosarcoma	2/397	0.015917243060564135	0.04275356107088724	0	0	12.401898734177216	51.348229801455595	CXCL12;KIT
Atherosclerosis	3/1134	0.01615350949500649	0.04286183772250947	0	0	7.14626752557787	29.48276955564849	CXCL12;KIT;CLU
Vascular Diseases	2/401	0.01622268030684132	0.04286183772250947	0	0	12.275062656641603	50.589768066777225	CXCL12;CLU
