Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mastocytosis, Systemic	2/67	4.889339976743091E-4	0.01294510965271028	0	0	76.63461538461539	584.2073646335838	KIT;CLU
Mucoepidermoid Carcinoma	2/69	5.185109646488796E-4	0.01340893471371056	0	0	74.33955223880596	562.3452140692101	CXCL12;KIT
Leukoplakia, Oral	2/70	5.336190066674734E-4	0.01348600762305069	0	0	73.24264705882354	551.9440230421153	ALDH1A1;AXIN2
Glioblastoma Multiforme	4/854	5.638557963692983E-4	0.013654549859235969	0	0	15.011764705882353	112.29868866701202	CXCL12;ALDH1A1;AXIN2;CLU
Encephalomyelitis	3/348	5.723161692788994E-4	0.013654549859235969	0	0	24.403726708074533	182.19380593729016	CXCL12;KIT;CLU
Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse	3/349	5.771257584389303E-4	0.013654549859235969	0	0	24.33195706028076	181.45436201097252	IGLL5;CXCL12;KIT
Lymphoma, Large-Cell, Follicular	2/83	7.49325943468871E-4	0.016980485598984494	0	0	61.44753086419753	442.19710904457907	CXCL12;KIT
Testicular Neoplasms	2/83	7.49325943468871E-4	0.016980485598984494	0	0	61.44753086419753	442.19710904457907	KIT;CLU
Squamous cell carcinoma of the head and neck	4/934	7.914221410392735E-4	0.016980485598984494	0	0	13.663082437275985	97.57734963285098	CXCL12;GNG7;ALDH1A1;CLU
Adenocarcinoma	5/1712	7.978213393085147E-4	0.016980485598984494	0	0	10.710603397773871	76.40543749408195	CXCL12;THRB;KIT;ALDH1A1;CLU
ovarian neoplasm	4/938	8.042933999776435E-4	0.016980485598984494	0	0	13.6017130620985	96.91963795164328	CXCL12;THRB;KIT;CLU
Adenomatous Polyposis Coli	3/392	8.093217057069948E-4	0.016980485598984494	0	0	21.59493206022769	153.74110347297778	KIT;AXIN2;CLU
Chordoma	2/88	8.417860041969778E-4	0.0173345562345748	0	0	57.86046511627907	409.651209367184	KIT;ALDH1A1
Adenoma	4/1000	0.0010235571889073898	0.02050670559468954	0	0	12.713520749665328	87.52586845093619	CXCL12;KIT;AXIN2;CLU
Myelofibrosis	2/98	0.0010424119627603938	0.02050670559468954	0	0	51.807291666666664	355.7201614766498	CXCL12;KIT
Inflammation	3/429	0.001051153074547935	0.02050670559468954	0	0	19.68209255533199	134.97718387335237	CXCL12;CTSG;CLU
Malignant Testicular Germ Cell Tumor	2/106	0.0012178956941286418	0.02335000020467327	0	0	47.80288461538461	320.78750745619243	KIT;CLU
Parkinson Disease	4/1064	0.001291645554693786	0.024344234861347288	0	0	11.90566037735849	79.1945270864285	CXCL12;ALDH1A1;CACNA1A;CLU
Schizophrenia	5/1923	0.0013618185303509761	0.024691341046097284	0	0	9.422314911366007	62.17723722135028	CXCL12;GNG7;KIT;ALDH1A1;CLU
Lip and Oral Cavity Carcinoma	3/473	0.0013934598190768492	0.024691341046097284	0	0	17.799392097264437	117.04818917121341	CXCL12;ALDH1A1;AXIN2
Gingival Diseases	2/114	0.0014066029101133422	0.024691341046097284	0	0	44.370535714285715	291.36257325115224	CXCL12;CLU
Thyroid Neoplasm	3/476	0.0014190695335243237	0.024691341046097284	0	0	17.683781334944126	115.96588566629501	THRB;KIT;CLU
leukemia	5/1941	0.0014210843767538004	0.024691341046097284	0	0	9.325413223140496	61.140533600419545	CXCL12;THRB;KIT;ALDH1A1;CTSG
Osteosarcoma	4/1103	0.0014776065285197532	0.024857185636784653	0	0	11.45950864422202	74.6854190767412	CXCL12;KIT;ALDH1A1;CLU
Carcinoma, Small Cell	2/117	0.0014807595211497864	0.024857185636784653	0	0	43.20652173913044	281.4991361759346	THRB;KIT
Pain	3/485	0.001497690141784687	0.024857185636784653	0	0	17.345583876704207	112.81275069618108	CXCL12;CACNA1A;CTSG
Malignant neoplasm of mouth	3/492	0.0015607153162988704	0.025522285760652113	0	0	17.091148115687993	110.45344227187334	CXCL12;ALDH1A1;AXIN2
Secondary malignant neoplasm of liver	3/508	0.0017110346394298333	0.027447469050149012	0	0	16.536067892503535	105.34561731907064	CXCL12;KIT;CLU
Malignant neoplasm of ovary	5/2026	0.0017278083035165745	0.027447469050149012	0	0	8.891142998515587	56.555685282476716	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Autoimmune thyroid disease	2/132	0.0018790923323901791	0.02943029117771661	0	0	38.19230769230769	239.73183291162474	CXCL12;THRB
Skin Carcinogenesis	2/134	0.00193565348348011	0.02989509268930392	0	0	37.609848484848484	234.96039351820008	KIT;CLU
Periodontal Diseases	2/137	0.002022008909273467	0.0304568941923905	0	0	36.76851851851852	228.09952555633555	CXCL12;CLU
Metastatic Neoplasm	3/544	0.0020820078047342075	0.0304568941923905	0	0	15.40718246633219	95.13045500808099	CXCL12;KIT;ALDH1A1
Hematological Disease	2/147	0.0023229246092663436	0.0304568941923905	0	0	34.21551724137931	207.51465812385604	CXCL12;KIT
Chronic Periodontitis	2/148	0.002354117328323827	0.0304568941923905	0	0	33.97945205479452	205.62969286743447	CXCL12;CLU
Chromophobe Renal Cell Carcinoma	2/149	0.0023855095888930286	0.0304568941923905	0	0	33.74659863945578	203.77352124587753	KIT;ALDH1A1
Papillary thyroid carcinoma	3/571	0.0023910640962570865	0.0304568941923905	0	0	14.654426559356137	88.45436466578106	CXCL12;THRB;KIT
Secondary malignant neoplasm of lymph node	4/1271	0.002500176691555096	0.0304568941923905	0	0	9.851617995264403	59.02492369580033	CXCL12;KIT;ALDH1A1;CLU
Ovarian Carcinoma	5/2203	0.0025246310008574554	0.0304568941923905	0	0	8.094631483166514	48.41933631382464	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Glioma	5/2211	0.0025661941613935335	0.0304568941923905	0	0	8.061650045330916	48.09041373767223	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Medulloblastoma	3/590	0.0026249348974996035	0.0304568941923905	0	0	14.166220491603797	84.1855869586318	CXCL12;KIT;AXIN2
Hodgkin Disease	3/592	0.0026503552780527363	0.0304568941923905	0	0	14.116662624302693	83.7550286650903	CXCL12;KIT;CLU
Intestinal Neoplasms	2/158	0.0026769918643785493	0.0304568941923905	0	0	31.78525641025641	188.26603021268724	KIT;AXIN2
Sporadic Breast Carcinoma	2/159	0.0027103703976302097	0.0304568941923905	0	0	31.581210191082803	186.66611086126522	CXCL12;ALDH1A1
Non-Small Cell Lung Carcinoma	5/2243	0.002737604649873782	0.0304568941923905	0	0	7.932082216264522	46.80461508862406	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Lymphoma	4/1307	0.0027710154348708272	0.0304568941923905	0	0	9.561013046815042	56.30042156296788	IGLL5;CXCL12;KIT;CLU
Multiple Myeloma	4/1312	0.0028101943240647076	0.0304568941923905	0	0	9.52191641182467	55.93651361106798	CXCL12;KIT;ALDH1A1;AXIN2
Liver diseases	3/606	0.0028326341797504035	0.0304568941923905	0	0	13.778962331201138	80.8349465888419	CXCL12;ALDH1A1;CLU
Metastatic malignant neoplasm to brain	2/163	0.002845860024207676	0.0304568941923905	0	0	30.790372670807454	180.4897765427114	CXCL12;KIT
Primary malignant neoplasm of lung	5/2268	0.002877383400400157	0.0304568941923905	0	0	7.833406981882457	45.83227676650885	CXCL12;KIT;ALDH1A1;AXIN2;CLU
Epithelial ovarian cancer	4/1329	0.002946313045846494	0.0304568941923905	0	0	9.391194968553458	54.72437794406202	CXCL12;KIT;ALDH1A1;CLU
Enlarged cisterna magna	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	CACNA1A
Male Germ Cell Tumor	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	KIT
Cerebellar Ataxia, Late Onset	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	CACNA1A
Marie Cerebellar Ataxia	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	CACNA1A
Mediastinal Neoplasms	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	KIT
Megakaryocytic hyperplasia	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	CXCL12
Mixed phenotype acute leukemia B/myeloid	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	KIT
Hemiplegia, Crossed	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	CACNA1A
Bursitis	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	CXCL12
Headache associated with sexual activity	1/6	0.002996578172872153	0.0304568941923905	0	0	444.1111111111111	2580.4117942926405	KIT
