ID	Gene.Symbol	Gene.Title	log2(fold change)	-log10(Pvalue)
11742814_s_at	SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	2.267	6.692
11742815_x_at	SEMA6A	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	2.115	5.949
11742820_s_at	OGN	osteoglycin	2.472	6.937
11742821_s_at	OGN	osteoglycin	2.618	7.078
11742938_at	ASCL2	achaete-scute family bHLH transcription factor 2	-2.554	8.369
11742992_s_at	PSAT1	phosphoserine aminotransferase 1	-2.242	4.121
11743044_a_at	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	2.012	3.43
11743172_a_at	SLCO4A1	solute carrier organic anion transporter family, member 4A1	-2.031	7.448
11743240_a_at	LY6G6D	lymphocyte antigen 6 complex, locus G6D	-3.468	6.084
11743655_a_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	2.499	11.08
11743656_a_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	2.645	10.23
11743657_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	2.642	10.545
11743742_at	ATP11A	ATPase, class VI, type 11A	-2.009	8.639
11743818_a_at	CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	2.531	5.342
11743856_a_at	CTHRC1	collagen triple helix repeat containing 1	-2.206	4.849
11744030_a_at	MMP7	matrix metallopeptidase 7	-5.243	9.737
11744031_at	MMP7	matrix metallopeptidase 7	-4.311	9.502
11744099_a_at	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2	2.558	5.83
11744128_x_at	CXCL2	chemokine (C-X-C motif) ligand 2	-2.151	5.619
11744168_at	DPT	dermatopontin	3.018	5.483
11744424_a_at	KRT23	keratin 23, type I	-4.011	4.935
11744718_a_at	CTHRC1	collagen triple helix repeat containing 1	-2.434	4.99
11745020_a_at	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	-2.265	12.115
11745192_a_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3	2.396	12.555
11745361_a_at	CRNDE	colorectal neoplasia differentially expressed (non-protein coding)	-3.408	9.257
11745722_x_at	FHL1	four and a half LIM domains 1	2.648	5.109
11745787_at	MUC12	mucin 12, cell surface associated	2.034	3.254
11746322_x_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	3.276	9.157
11746389_a_at	CDH3	cadherin 3, type 1, P-cadherin (placental)	-2.109	10.849
11746700_s_at	ITM2A	integral membrane protein 2A	2.378	9.228
11746898_x_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	4.343	9.752
11746931_a_at	INHBA	inhibin beta A	-2.444	8.026
11746965_a_at	ANPEP	alanyl (membrane) aminopeptidase	2.542	5.469
11747167_x_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	3.025	9.89
11747264_a_at	BCAS1	breast carcinoma amplified sequence 1	2.027	7.325
11747265_x_at	BCAS1	breast carcinoma amplified sequence 1	2.083	7.919
11747328_a_at	FHL1	four and a half LIM domains 1	2.267	5.53
11747714_a_at	ABCA8	ATP binding cassette subfamily A member 8	2.392	9.767
11748513_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	2.742	9.908
11748655_x_at	FHL1	four and a half LIM domains 1	2.476	5.312
11748816_a_at	UGT2A3	UDP glucuronosyltransferase 2 family, polypeptide A3	2.578	7.125
11748905_a_at	CTHRC1	collagen triple helix repeat containing 1	-2.019	5.038
11749273_a_at	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	3.076	6.124
11749983_a_at	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	-2.096	5.458
11750140_x_at	TOP1MT	topoisomerase (DNA) I, mitochondrial	-2.049	8.989
11750205_a_at	BCAS1	breast carcinoma amplified sequence 1	2.486	6.289
11750303_x_at	B3GALT5-AS1	B3GALT5 antisense RNA 1	3.929	6.497
11750410_a_at	UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A3 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A7 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9	2.967	8.078
11750472_a_at	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	2.097	5.882
11750517_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	2.581	9.453
11750604_a_at	GTF2IRD1	GTF2I repeat domain containing 1	-2.334	13.198
11750825_a_at	ADAMDEC1	ADAM-like, decysin 1	3.188	8.093
11750826_x_at	ADAMDEC1	ADAM-like, decysin 1	3.269	7.809
11750844_a_at	SLC17A4	solute carrier family 17, member 4	2.152	12.437
11750860_a_at	CMAHP	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene	2.17	6.209
11750918_a_at	HEPACAM2	HEPACAM family member 2	2.941	5.61
11751267_a_at	ADAMDEC1	ADAM-like, decysin 1	2.988	7.469
11751355_a_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	3.072	5.905
11751841_a_at	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	3.175	10.623
11751904_x_at	COL11A1	collagen, type XI, alpha 1	-2.08	6.284
11752269_a_at	UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A3 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A7 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9	2.989	7.765
11752834_s_at	BTNL8	butyrophilin-like 8	2.086	6.983
11753010_x_at	FHL1	four and a half LIM domains 1	2.078	5.164
11753257_a_at	CXCL12	chemokine (C-X-C motif) ligand 12	3.282	9.08
11753601_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	2.346	9.659
11753653_a_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7	3.188	5.779
11753702_a_at	TMEM220	transmembrane protein 220	2.331	7.521
11753736_s_at	MT1JP /// MT1M /// MT1P3	metallothionein 1J, pseudogene /// metallothionein 1M /// metallothionein 1 pseudogene 3	3.11	7.693
11753942_a_at	UCA1	urothelial cancer associated 1 (non-protein coding)	-2.331	3.675
11754026_a_at	CXCL8	chemokine (C-X-C motif) ligand 8	-2.983	4.462
11754145_x_at	IGKV1-27 /// IGKV1D-27 /// IGKV1OR1-1 /// IGKV1OR10-1 /// IGKV1OR2-118 /// IGKV1OR22-5	immunoglobulin kappa variable 1-27 /// immunoglobulin kappa variable 1D-27 (pseudogene) /// immunoglobulin kappa variable 1/OR1-1 (pseudogene) /// immunoglobulin kappa variable 1/OR10-1 (pseudogene) /// immunoglobulin kappa variable 1/OR2-118 (pseudogene) /// immunoglobulin kappa variable 1/OR22-5 (pseudogene)	2.505	5.091
11754189_s_at	AKR1C1 /// AKR1C2	aldo-keto reductase family 1, member C1 /// aldo-keto reductase family 1, member C2	2.119	12.74
11754382_a_at	SMIM5	small integral membrane protein 5	2.069	10.842
11754421_a_at	VSIG2	V-set and immunoglobulin domain containing 2	2.375	4.516
11754594_a_at	SLC26A2	solute carrier family 26 (anion exchanger), member 2	3.311	7.781
11754595_s_at	SLC26A2	solute carrier family 26 (anion exchanger), member 2	3.047	8.137
11754853_s_at	PDZK1 /// PDZK1P1	PDZ domain containing 1 /// PDZ domain containing 1 pseudogene 1	2.061	3.746
11754856_a_at	CA12	carbonic anhydrase XII	2.35	7.25
11754909_a_at	C2orf88	chromosome 2 open reading frame 88	2.944	13.532
11754924_s_at	ADTRP	androgen-dependent TFPI-regulating protein	2.911	7.158
11755024_a_at	MYEOV	myeloma overexpressed	-2.621	8.91
11755195_a_at	NXPE1	neurexophilin and PC-esterase domain family, member 1	2.72	6.105
11755281_a_at	TGFBI	transforming growth factor, beta-induced, 68kDa	-2.268	7.849
11755307_a_at	MEP1A	meprin A, alpha (PABA peptide hydrolase)	2.059	7.28
11755331_a_at	ANK2	ankyrin 2, neuronal	2.705	7.114
11755382_x_at	IGLL5 /// IGLV1-36 /// IGLV1-44 /// IGLV1-47	immunoglobulin lambda-like polypeptide 5 /// immunoglobulin lambda variable 1-36 /// immunoglobulin lambda variable 1-44 /// immunoglobulin lambda variable 1-47	2.997	5.315
11755393_a_at	HHLA2	HERV-H LTR-associating 2	2.497	10.053
11755560_a_at	PDE6A	phosphodiesterase 6A, cGMP-specific, rod, alpha	2.041	9.448
11755576_a_at	TRPM6	transient receptor potential cation channel, subfamily M, member 6	2.612	11.827
11755607_a_at	KIAA1549	KIAA1549	-2.318	12.213
11755608_x_at	KIAA1549	KIAA1549	-2.036	10.553
11755705_a_at	SMIM5	small integral membrane protein 5	2.014	10.159
11755748_s_at	PLAC8	placenta specific 8	2.138	8.811
11755757_a_at	SYNM	synemin, intermediate filament protein	2.302	2.562
11755858_a_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	2.748	4.106
11755928_s_at	MMP1	matrix metallopeptidase 1	-2.551	3.163
11755964_a_at	NRXN1	neurexin 1	2.032	8.476
11755975_x_at	PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	3.544	10.17
11756074_a_at	MMP7	matrix metallopeptidase 7	-4.38	9.195
11756182_s_at	PSAT1	phosphoserine aminotransferase 1	-2.068	3.712
11756316_a_at	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)	-2.076	3.934
11756343_a_at	DPEP1	dipeptidase 1 (renal)	-3.891	5.941
11756547_a_at	CLU	clusterin	2.25	5.852
11756658_a_at	MZB1	marginal zone B and B1 cell-specific protein	2.549	6.402
11756770_x_at	TRIM29	tripartite motif containing 29	-2.708	8.017
11756822_s_at	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	2.992	6.655
11756898_a_at	PGM5	phosphoglucomutase 5	2.24	3.794
11757044_x_at	HILPDA	hypoxia inducible lipid droplet-associated	-2.153	9.568
11757815_s_at	METTL7A	methyltransferase like 7A	2.279	8.036
11757921_s_at	COL14A1	collagen, type XIV, alpha 1	2.068	5.399
11758028_s_at	FOXQ1	forkhead box Q1	-5.147	11.897
11758048_s_at	THRB	thyroid hormone receptor, beta	2.763	7.108
11758083_s_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	2.597	9.985
11758145_s_at	LIFR	leukemia inhibitory factor receptor alpha	2.466	11.114
11758224_s_at	CCDC80	coiled-coil domain containing 80	2.296	4.124
11758287_s_at	TMEM236	transmembrane protein 236	2.978	12.011
11758438_s_at	CD36	CD36 molecule (thrombospondin receptor)	2.586	11.349
11758790_a_at	STMN2	stathmin 2	2.556	8.173
11758834_at	RNF43	ring finger protein 43	-2.035	7.486
11758861_at	ZG16	zymogen granule protein 16	2.754	12.441
11759120_a_at	LGR5	leucine-rich repeat containing G protein-coupled receptor 5	-2.244	4.463
11759415_at	SLC51B	solute carrier family 51, beta subunit	3.19	12.361
11759464_at	OTOP2	otopetrin 2	2.22	10.174
11759685_x_at	IGLV1-40	immunoglobulin lambda variable 1-40	2.01	6.613
11759815_a_at	IGHM	immunoglobulin heavy constant mu	2.7	4.85
11759816_x_at	IGHM	immunoglobulin heavy constant mu	2.518	4.952
11760029_x_at	ABCA8	ATP binding cassette subfamily A member 8	2.747	8.106
11760137_x_at	IGHA1	immunoglobulin heavy constant alpha 1	3.084	6.506
11761899_a_at	IGH /// IGHA1 /// IGHA2	immunoglobulin heavy locus /// immunoglobulin heavy constant alpha 1 /// immunoglobulin heavy constant alpha 2 (A2m marker)	3.193	7.095
11761921_x_at	PYY	peptide YY	2.14	10.417
11762012_at	MYH11	myosin, heavy chain 11, smooth muscle	2.263	3.4
11762091_x_at	IGH /// IGHA2	immunoglobulin heavy locus /// immunoglobulin heavy constant alpha 2 (A2m marker)	3.016	6.921
11762099_x_at	IGHA1	immunoglobulin heavy constant alpha 1	3.062	6.504
11762999_at	IGH	immunoglobulin heavy locus	3.116	12.395
11763100_x_at	MT1JP	metallothionein 1J, pseudogene	3.092	7.6
11763144_x_at	IGKV3-11 /// IGKV3D-11	immunoglobulin kappa variable 3-11 /// immunoglobulin kappa variable 3D-11	2.331	3.711
11763222_x_at	IGK /// IGKC /// IGKV1-16 /// IGKV1-5 /// IGKV1D-16 /// IGKV1D-17	immunoglobulin kappa locus /// immunoglobulin kappa constant /// immunoglobulin kappa variable 1-16 /// immunoglobulin kappa variable 1-5 /// immunoglobulin kappa variable 1D-16 /// immunoglobulin kappa variable 1D-17	2.488	4.756
11763225_x_at	IGLV1-41 /// IGLV1-51	immunoglobulin lambda variable 1-41 (pseudogene) /// immunoglobulin lambda variable 1-51	2.18	6.651
11763226_x_at	CXCL8	chemokine (C-X-C motif) ligand 8	-2.734	4.054
11763229_x_at	IGLJ3 /// IGLL5 /// IGLV3-19	immunoglobulin lambda joining 3 /// immunoglobulin lambda-like polypeptide 5 /// immunoglobulin lambda variable 3-19	2.2	8.542
11763249_x_at	IGH /// IGHA2	immunoglobulin heavy locus /// immunoglobulin heavy constant alpha 2 (A2m marker)	3.086	6.794
11763253_x_at	IGKV2-28 /// IGKV2D-28	immunoglobulin kappa variable 2-28 /// immunoglobulin kappa variable 2D-28	2.255	4.618
11763360_a_at	VSIG2	V-set and immunoglobulin domain containing 2	2.302	6.376
11763361_at	VSIG2	V-set and immunoglobulin domain containing 2	2.248	5.297
11763408_x_at	ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2	2.435	8.012
11763568_a_at	NXPE2	neurexophilin and PC-esterase domain family, member 2	2.021	4.713
11763640_x_at	IGKV1-39 /// IGKV1D-39	immunoglobulin kappa variable 1-39 (gene/pseudogene) /// immunoglobulin kappa variable 1D-39	2.347	4.553
11763663_x_at	IGKC /// IGKV1-33 /// IGKV1D-33	immunoglobulin kappa constant /// immunoglobulin kappa variable 1-33 /// immunoglobulin kappa variable 1D-33	2.372	4.157
11763684_x_at	IGKV1-5	immunoglobulin kappa variable 1-5	2.146	4.351
11763828_a_at	DPEP1	dipeptidase 1 (renal)	-2.067	4.532
11763971_at	LINC01082	long intergenic non-protein coding RNA 1082	2.275	8.306
11764046_x_at	IGHM	immunoglobulin heavy constant mu	2.727	4.955
11764077_s_at	EDIL3	EGF-like repeats and discoidin I-like domains 3	2.294	9.701
11764130_s_at	IGH /// IGHA1 /// IGHA2	immunoglobulin heavy locus /// immunoglobulin heavy constant alpha 1 /// immunoglobulin heavy constant alpha 2 (A2m marker)	3.223	5.149
