ID	Gene.Symbol	Gene.Title	log2(fold change)	-log10(Pvalue)
11722791_s_at	MATN2	matrilin 2	2.105	7.222
11722863_at	SCGB2A1	secretoglobin, family 2A, member 1	2.61	6.047
11722926_a_at	MMRN1	multimerin 1	2.481	5.766
11722941_at	MUC2	mucin 2, oligomeric mucus/gel-forming	2.138	3.851
11722994_s_at	ADH1A /// ADH1B /// ADH1C	alcohol dehydrogenase 1A (class I), alpha polypeptide /// alcohol dehydrogenase 1B (class I), beta polypeptide /// alcohol dehydrogenase 1C (class I), gamma polypeptide	3.366	9.485
11722995_at	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	3.754	9.597
11723069_at	GABBR1 /// UBD	gamma-aminobutyric acid (GABA) B receptor, 1 /// ubiquitin D	-2.108	3.858
11723163_s_at	NR3C2	nuclear receptor subfamily 3, group C, member 2	2.451	10.445
11723191_at	ZIC2	Zic family member 2	-2.062	2.766
11723222_s_at	MYOT	myotilin	2.553	8.626
11723239_a_at	GNG7 /// LOC101929097	guanine nucleotide binding protein (G protein), gamma 7 /// uncharacterized LOC101929097	2.293	12.69
11723246_s_at	SFRP1	secreted frizzled-related protein 1	3.641	6.76
11723302_a_at	CHGA	chromogranin A	5.128	12.351
11723339_at	CTSG	cathepsin G	2.066	6.009
11723411_s_at	PLP1	proteolipid protein 1	3.012	9.112
11723418_a_at	VSNL1	visinin like 1	-2.135	6.662
11723439_at	SRPX2	sushi-repeat containing protein, X-linked 2	-2.399	5.425
11723585_a_at	SMPDL3A	sphingomyelin phosphodiesterase, acid-like 3A	2.085	11.063
11723635_s_at	MMP3	matrix metallopeptidase 3	-2.897	4.465
11723645_at	PLN	phospholamban	2.334	3.243
11723826_a_at	C2orf88	chromosome 2 open reading frame 88	2.918	12.251
11723899_a_at	DHRS9	dehydrogenase/reductase (SDR family) member 9	2.491	8.364
11724090_s_at	EDN3	endothelin 3	3.067	9.053
11724219_x_at	GSTA1	glutathione S-transferase alpha 1	2.323	3.556
11724221_at	NAP1L2	nucleosome assembly protein 1-like 2	2.027	9.758
