Id,Label,Degree,Betweenness,Expression,Rank(Degree),Rank(Bet),Avg Rank
4067,LYN,2,994,0,182,35,108.5,,
10071,MUC12,5,10,0,65,154,109.5,,
657,BMPR1A,2,920,0,182,37,109.5,,
72,ACTG2,2,812,0,182,43,112.5,,
7852,CXCR4,2,777.56,0,182,44,113,,
7076,TIMP1,4,14.33,0,78,149,113.5,,
4609,MYC,2,720,0,182,46,114,,
4316,MMP7,4,11.17,0,78,151.5,114.75,,
4314,MMP3,4,11.17,0,78,151.5,114.75,,
6423,SFRP2,5,5,0,65,168,116.5,,
2192,FBLN1,4,9,0,78,155,116.5,,
2921,CXCL3,7,2.27,0,42.5,194,118.25,,
5576,PRKAR2A,2,455,0,182,58,120,,
7850,IL1R2,4,6,0,78,163.5,120.75,,
1301,COL11A1,4,6,0,78,163.5,120.75,,
284217,LAMA1,4,6,0,78,163.5,120.75,,
5239,PGM5,4,6,0,78,163.5,120.75,,
5196,PF4,3,23.3,0,105,141,123,,
6777,STAT5B,2,288,0,182,70.5,126.25,,
6776,STAT5A,2,288,0,182,70.5,126.25,,
2167,FABP4,3,11,0,105,153,129,,
2740,GLP1R,2,217.5,0,182,76.5,129.25,,
2696,GIPR,2,217.5,0,182,76.5,129.25,,
4312,MMP1,3,8.67,0,105,156,130.5,,
2810,SFN,2,207,0,182,80,131,,
9547,CXCL14,3,8.35,0,105,158.5,131.75,,
1956,EGFR,2,189,0,182,83,132.5,,
7077,TIMP2,3,6.33,0,105,161,133,,
867,CBL,2,148,0,182,88.5,135.25,,
351,APP,2,148,0,182,88.5,135.25,,
8202,NCOA3,2,148,0,182,88.5,135.25,,
5308,PITX2,2,148,0,182,88.5,135.25,,
6548,SLC9A1,3,5,0,105,168,136.5,,
4494,MT1F,3,5,0,105,168,136.5,,
1592,CYP26A1,2,142,0,182,92,137,,
471,ATIC,2,119,0,182,98,140,,
6373,CXCL11,3,3.4,0,105,175.5,140.25,,
1559,CYP2C9,2,85.88,0,182,107.5,144.75,,
1544,CYP1A2,2,85.88,0,182,107.5,144.75,,
9603,NFE2L3,3,3,0,105,185,145,,
4488,MSX2,3,3,0,105,185,145,,
9518,GDF15,3,3,0,105,185,145,,
10894,LYVE1,3,3,0,105,185,145,,
6750,SST,3,3,0,105,185,145,,
197257,LDHD,3,3,0,105,185,145,,
11005,SPINK5,3,3,0,105,185,145,,
3899,AFF3,3,3,0,105,185,145,,
92,ACVR2A,2,78.67,0,182,109.5,145.75,,
10468,FST,2,78.67,0,182,109.5,145.75,,
10681,GNB5,2,78.23,0,182,111,146.5,,
718,C3,2,73.5,0,182,112.5,147.25,,
629,CFB,2,73.5,0,182,112.5,147.25,,
10170,DHRS9,2,72,0,182,114,148,,
1811,SLC26A3,2,71,0,182,115,148.5,,
10673,TNFSF13B,2,65,0,182,117,149.5,,
217,ALDH2,2,64,0,182,120,151,,
224,ALDH3A2,2,64,0,182,120,151,,
223,ALDH9A1,2,64,0,182,120,151,,
